supplier,supplier_id,supplier_sku,master_product_id,variant_id,product_name,components,dosage_form,presentation,strength,strength_unit,fill_volume,pack_size,route,goal_category,supplier_currency,supplier_price,exchange_rate_eur_usd,exchange_rate_date,supplier_price_usd,mediluxe_master_currency,mediluxe_master_price,is_reference_price,active,source_page,notes
NP LABS,supplier-np-labs,,mp-semaglutide-5mg-vial,np-labs-semaglutide-5mg-vial-vial,Semaglutide 5mg vial,Semaglutide,lyophilized_powder,vial,5.0,mg,,,injectable,Weight Management,EUR,100.00,1.1530,2026-08-03,115.30,USD,115.30,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-semaglutide-20mg-vial-10ml,np-labs-semaglutide-20mg-vial-10ml-vial,Semaglutide 20mg vial (10ml),Semaglutide,injectable_solution,vial,20.0,mg,10ml,,injectable,Weight Management,EUR,250.00,1.1530,2026-08-03,288.25,USD,288.25,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-tirzepatide-5mg-vial,np-labs-tirzepatide-5mg-vial-vial,Tirzepatide 5mg vial,Tirzepatide,lyophilized_powder,vial,5.0,mg,,,injectable,Weight Management,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-tirzepatide-20mg-vial,np-labs-tirzepatide-20mg-vial-vial,Tirzepatide 20mg vial,Tirzepatide,lyophilized_powder,vial,20.0,mg,,,injectable,Weight Management,EUR,200.00,1.1530,2026-08-03,230.60,USD,230.60,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-tirzepatide-40mg-vial,np-labs-tirzepatide-40mg-vial-vial,Tirzepatide 40mg vial,Tirzepatide,lyophilized_powder,vial,40.0,mg,,,injectable,Weight Management,EUR,260.00,1.1530,2026-08-03,299.78,USD,299.78,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-tirzepatide-60mg-vial,np-labs-tirzepatide-60mg-vial-vial,Tirzepatide 60mg vial,Tirzepatide,lyophilized_powder,vial,60.0,mg,,,injectable,Weight Management,EUR,350.00,1.1530,2026-08-03,403.55,USD,403.55,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-retatrutide-5mg-vial,np-labs-retatrutide-5mg-vial-vial,Retatrutide 5mg vial,Retatrutide,lyophilized_powder,vial,5.0,mg,,,injectable,Weight Management,EUR,100.00,1.1530,2026-08-03,115.30,USD,115.30,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-retatrutide-12mg-vial,np-labs-retatrutide-12mg-vial-vial,Retatrutide 12mg vial,Retatrutide,lyophilized_powder,vial,12.0,mg,,,injectable,Weight Management,EUR,150.00,1.1530,2026-08-03,172.95,USD,172.95,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-retatrutide-24mg-vial,np-labs-retatrutide-24mg-vial-vial,Retatrutide 24mg vial,Retatrutide,lyophilized_powder,vial,24.0,mg,,,injectable,Weight Management,EUR,200.00,1.1530,2026-08-03,230.60,USD,230.60,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-retatrutide-50mg-vial-10ml,np-labs-retatrutide-50mg-vial-10ml-vial,Retatrutide 50mg vial (10ml),Retatrutide,injectable_solution,vial,50.0,mg,10ml,,injectable,Weight Management,EUR,300.00,1.1530,2026-08-03,345.90,USD,345.90,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-retatrutide-60mg-vial-10ml,np-labs-retatrutide-60mg-vial-10ml-vial,Retatrutide 60mg vial (10ml),Retatrutide,injectable_solution,vial,60.0,mg,10ml,,injectable,Weight Management,EUR,350.00,1.1530,2026-08-03,403.55,USD,403.55,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cagrilintide-5mg-vial,np-labs-cagrilintide-5mg-vial-vial,Cagrilintide 5mg vial,Cagrilintide,lyophilized_powder,vial,5.0,mg,,,injectable,Weight Management,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-cagrilintide-5mg-plus-semaglutide-5mg-vial,np-labs-cagrilintide-5mg-plus-semaglutide-5mg-vial-vial,Cagrilintide 5mg + Semaglutide 5mg vial,Cagrilintide + Semaglutide,lyophilized_powder,vial,5.0 + 5.0,mg + mg,,,injectable,Weight Management,EUR,180.00,1.1530,2026-08-03,207.54,USD,207.54,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-aod-9604-5mg-vial,np-labs-aod-9604-5mg-vial-vial,AOD-9604 5mg vial,AOD-9604,lyophilized_powder,vial,5.0,mg,,,injectable,Weight Management,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-5-amino-1mq-10mg-vial,np-labs-5-amino-1mq-10mg-vial-vial,5-Amino-1MQ 10mg vial,5-Amino-1MQ,lyophilized_powder,vial,10.0,mg,,,injectable,Weight Management,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,1,
NP LABS,supplier-np-labs,,mp-bpc-157-5mg-vial,np-labs-bpc-157-5mg-vial-vial,BPC-157 5mg vial,BPC-157,lyophilized_powder,vial,5.0,mg,,,injectable,Healing & Recovery,EUR,60.00,1.1530,2026-08-03,69.18,USD,69.18,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-bpc-157-10mg-vial,np-labs-bpc-157-10mg-vial-vial,BPC-157 10mg vial,BPC-157,lyophilized_powder,vial,10.0,mg,,,injectable,Healing & Recovery,EUR,90.00,1.1530,2026-08-03,103.77,USD,103.77,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-bpc-157-25mg-vial,np-labs-bpc-157-25mg-vial-vial,BPC-157 25mg vial,BPC-157,lyophilized_powder,vial,25.0,mg,,,injectable,Healing & Recovery,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-bpc-157-10mg-plus-tb-500-10mg-vial,np-labs-bpc-157-10mg-plus-tb-500-10mg-vial-vial,BPC-157 10mg + TB-500 10mg vial,BPC-157 + TB-500,lyophilized_powder,vial,10.0 + 10.0,mg + mg,,,injectable,Healing & Recovery,EUR,150.00,1.1530,2026-08-03,172.95,USD,172.95,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-bpc-157-10mg-plus-tb-500-10mg-plus-ghk-cu-50mg-vial,np-labs-bpc-157-10mg-plus-tb-500-10mg-plus-ghk-cu-50mg-vial-vial,BPC-157 10mg + TB-500 10mg + GHK-Cu 50mg vial,BPC-157 + TB-500 + GHK-Cu,lyophilized_powder,vial,10.0 + 10.0 + 50.0,mg + mg + mg,,,injectable,Healing & Recovery,EUR,200.00,1.1530,2026-08-03,230.60,USD,230.60,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-bpc-157-10mg-plus-tb-500-10mg-plus-ghk-cu-50mg-plus-kpv-10mg-vial,np-labs-bpc-157-10mg-plus-tb-500-10mg-plus-ghk-cu-50mg-plus-kpv-10mg-vial-vial,BPC-157 10mg + TB-500 10mg + GHK-Cu 50mg + KPV 10mg vial,BPC-157 + TB-500 + GHK-Cu + KPV,lyophilized_powder,vial,10.0 + 10.0 + 50.0 + 10.0,mg + mg + mg + mg,,,injectable,Healing & Recovery,EUR,230.00,1.1530,2026-08-03,265.19,USD,265.19,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-bpc-157-3-5mg-plus-semaglutide-30mg-vial,np-labs-bpc-157-3-5mg-plus-semaglutide-30mg-vial-vial,BPC-157 3.5mg + Semaglutide 30mg vial,BPC-157 + Semaglutide,lyophilized_powder,vial,3.5 + 30.0,mg + mg,,,injectable,Healing & Recovery,EUR,280.00,1.1530,2026-08-03,322.84,USD,322.84,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-thymosin-beta-tb-500-5mg-vial,np-labs-thymosin-beta-tb-500-5mg-vial-vial,Thymosin Beta (TB-500) 5mg vial,TB-500,lyophilized_powder,vial,5.0,mg,,,injectable,Healing & Recovery,EUR,60.00,1.1530,2026-08-03,69.18,USD,69.18,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-thymosin-beta-tb-500-20mg-vial,np-labs-thymosin-beta-tb-500-20mg-vial-vial,Thymosin Beta (TB-500) 20mg vial,TB-500,lyophilized_powder,vial,20.0,mg,,,injectable,Healing & Recovery,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-kpv-5mg-vial,np-labs-kpv-5mg-vial-vial,KPV 5mg vial,KPV,lyophilized_powder,vial,5.0,mg,,,injectable,Healing & Recovery,EUR,30.00,1.1530,2026-08-03,34.59,USD,34.59,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-kpv-10mg-vial,np-labs-kpv-10mg-vial-vial,KPV 10mg vial,KPV,lyophilized_powder,vial,10.0,mg,,,injectable,Healing & Recovery,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-ss-31-elamipretide-5mg-vial,np-labs-ss-31-elamipretide-5mg-vial-vial,SS-31 (Elamipretide) 5mg vial,SS-31 (Elamipretide),lyophilized_powder,vial,5.0,mg,,,injectable,Healing & Recovery,EUR,25.00,1.1530,2026-08-03,28.82,USD,28.82,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-ss-31-elamipretide-10mg-vial,np-labs-ss-31-elamipretide-10mg-vial-vial,SS-31 (Elamipretide) 10mg vial,SS-31 (Elamipretide),lyophilized_powder,vial,10.0,mg,,,injectable,Healing & Recovery,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-ss-31-elamipretide-50mg-vial,np-labs-ss-31-elamipretide-50mg-vial-vial,SS-31 (Elamipretide) 50mg vial,SS-31 (Elamipretide),lyophilized_powder,vial,50.0,mg,,,injectable,Healing & Recovery,EUR,250.00,1.1530,2026-08-03,288.25,USD,288.25,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-ghk-cu-10mg-vial,np-labs-ghk-cu-10mg-vial-vial,GHK-Cu 10mg vial,GHK-Cu,lyophilized_powder,vial,10.0,mg,,,injectable,Healing & Recovery,EUR,30.00,1.1530,2026-08-03,34.59,USD,34.59,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-ghk-cu-30mg-vial,np-labs-ghk-cu-30mg-vial-vial,GHK-Cu 30mg vial,GHK-Cu,lyophilized_powder,vial,30.0,mg,,,injectable,Healing & Recovery,EUR,40.00,1.1530,2026-08-03,46.12,USD,46.12,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-ghk-cu-50mg-vial,np-labs-ghk-cu-50mg-vial-vial,GHK-Cu 50mg vial,GHK-Cu,lyophilized_powder,vial,50.0,mg,,,injectable,Healing & Recovery,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,2,
NP LABS,supplier-np-labs,,mp-epithalon-50mg-vial,np-labs-epithalon-50mg-vial-vial,Epithalon 50mg vial,Epithalon,lyophilized_powder,vial,50.0,mg,,,injectable,Longevity & Anti-Aging,EUR,60.00,1.1530,2026-08-03,69.18,USD,69.18,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-thymalin-5mg-vial,np-labs-thymalin-5mg-vial-vial,Thymalin 5mg vial,Thymalin,lyophilized_powder,vial,5.0,mg,,,injectable,Longevity & Anti-Aging,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-thymogen-5mg-vial,np-labs-thymogen-5mg-vial-vial,Thymogen 5mg vial,Thymogen,lyophilized_powder,vial,5.0,mg,,,injectable,Longevity & Anti-Aging,EUR,60.00,1.1530,2026-08-03,69.18,USD,69.18,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-thymosin-alpha-1-5mg-vial,np-labs-thymosin-alpha-1-5mg-vial-vial,Thymosin Alpha 1 5mg vial,Thymosin Alpha 1,lyophilized_powder,vial,5.0,mg,,,injectable,Longevity & Anti-Aging,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-thymosin-alpha-1-10mg-vial,np-labs-thymosin-alpha-1-10mg-vial-vial,Thymosin Alpha 1 10mg vial,Thymosin Alpha 1,lyophilized_powder,vial,10.0,mg,,,injectable,Longevity & Anti-Aging,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-mots-c-5mg-vial,np-labs-mots-c-5mg-vial-vial,MOTS-C 5mg vial,MOTS-C,lyophilized_powder,vial,5.0,mg,,,injectable,Longevity & Anti-Aging,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-mots-c-10mg-vial,np-labs-mots-c-10mg-vial-vial,MOTS-C 10mg vial,MOTS-C,lyophilized_powder,vial,10.0,mg,,,injectable,Longevity & Anti-Aging,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-mots-c-20mg-vial,np-labs-mots-c-20mg-vial-vial,MOTS-C 20mg vial,MOTS-C,lyophilized_powder,vial,20.0,mg,,,injectable,Longevity & Anti-Aging,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-mots-c-50mg-vial,np-labs-mots-c-50mg-vial-vial,MOTS-C 50mg vial,MOTS-C,lyophilized_powder,vial,50.0,mg,,,injectable,Longevity & Anti-Aging,EUR,150.00,1.1530,2026-08-03,172.95,USD,172.95,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-spermidine-20mg-injectable-vial,np-labs-spermidine-20mg-injectable-vial-vial,Spermidine 20mg injectable vial,Spermidine,lyophilized_powder,vial,20.0,mg,,,injectable,Longevity & Anti-Aging,EUR,40.00,1.1530,2026-08-03,46.12,USD,46.12,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-dsip-5mg-vial,np-labs-dsip-5mg-vial-vial,DSIP 5mg vial,DSIP,lyophilized_powder,vial,5.0,mg,,,injectable,Longevity & Anti-Aging,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-follistatin-344-1mg-vial,np-labs-follistatin-344-1mg-vial-vial,Follistatin 344 1mg vial,Follistatin 344,lyophilized_powder,vial,1.0,mg,,,injectable,Longevity & Anti-Aging,EUR,180.00,1.1530,2026-08-03,207.54,USD,207.54,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-igf-1-lr3-1mg-vial,np-labs-igf-1-lr3-1mg-vial-vial,IGF-1 LR3 1mg vial,IGF-1 LR3,lyophilized_powder,vial,1.0,mg,,,injectable,Longevity & Anti-Aging,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-vip-vasoactive-intestinal-peptide-10mg-vial,np-labs-vip-vasoactive-intestinal-peptide-10mg-vial-vial,VIP (Vasoactive Intestinal Peptide) 10mg vial,VIP,lyophilized_powder,vial,10.0,mg,,,injectable,Longevity & Anti-Aging,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-semax-5mg-vial,np-labs-semax-5mg-vial-vial,Semax 5mg vial,Semax,lyophilized_powder,vial,5.0,mg,,,injectable,Cognitive & Mood,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-selank-5mg-vial,np-labs-selank-5mg-vial-vial,Selank 5mg vial,Selank,lyophilized_powder,vial,5.0,mg,,,injectable,Cognitive & Mood,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-selank-5mg-plus-semax-5mg-vial,np-labs-selank-5mg-plus-semax-5mg-vial-vial,Selank 5mg + Semax 5mg vial,Selank + Semax,lyophilized_powder,vial,5.0 + 5.0,mg + mg,,,injectable,Cognitive & Mood,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-dihexa-5mg-capsules-x30,np-labs-dihexa-5mg-capsules-x30-capsule-pack,Dihexa 5mg capsules x30,Dihexa,oral_capsule,capsule_pack,5.0,mg,,30,oral,Cognitive & Mood,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-dihexa-10mg-capsules-x30,np-labs-dihexa-10mg-capsules-x30-capsule-pack,Dihexa 10mg capsules x30,Dihexa,oral_capsule,capsule_pack,10.0,mg,,30,oral,Cognitive & Mood,EUR,120.00,1.1530,2026-08-03,138.36,USD,138.36,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-dihexa-30mg-capsules-x30,np-labs-dihexa-30mg-capsules-x30-capsule-pack,Dihexa 30mg capsules x30,Dihexa,oral_capsule,capsule_pack,30.0,mg,,30,oral,Cognitive & Mood,EUR,180.00,1.1530,2026-08-03,207.54,USD,207.54,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-cerebrolysin-100mg-capsules-x30,np-labs-cerebrolysin-100mg-capsules-x30-capsule-pack,Cerebrolysin 100mg capsules x30,Cerebrolysin,oral_capsule,capsule_pack,100.0,mg,,30,oral,Cognitive & Mood,EUR,45.00,1.1530,2026-08-03,51.88,USD,51.88,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-pt-141-10mg-vial,np-labs-pt-141-10mg-vial-vial,PT-141 10mg vial,PT-141,lyophilized_powder,vial,10.0,mg,,,injectable,Sexual Health,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-kisspeptin-10-5mg-vial,np-labs-kisspeptin-10-5mg-vial-vial,Kisspeptin-10 5mg vial,Kisspeptin-10,lyophilized_powder,vial,5.0,mg,,,injectable,Sexual Health,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-oxytocin-5mg-vial,np-labs-oxytocin-5mg-vial-vial,Oxytocin 5mg vial,Oxytocin,lyophilized_powder,vial,5.0,mg,,,injectable,Sexual Health,EUR,25.00,1.1530,2026-08-03,28.82,USD,28.82,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-melanotan-i-10mg-vial,np-labs-melanotan-i-10mg-vial-vial,Melanotan I 10mg vial,Melanotan I,lyophilized_powder,vial,10.0,mg,,,injectable,Sexual Health,EUR,80.00,1.1530,2026-08-03,92.24,USD,92.24,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-melanotan-ii-10mg-vial,np-labs-melanotan-ii-10mg-vial-vial,Melanotan II 10mg vial,Melanotan II,lyophilized_powder,vial,10.0,mg,,,injectable,Sexual Health,EUR,88.00,1.1530,2026-08-03,101.46,USD,101.46,FALSE,TRUE,3,
NP LABS,supplier-np-labs,,mp-hcg-2000-iu-vial,np-labs-hcg-2000-iu-vial-vial,HCG 2000 IU vial,HCG,lyophilized_powder,vial,2000.0,IU,,,injectable,Other / Fertility,EUR,20.00,1.1530,2026-08-03,23.06,USD,23.06,FALSE,TRUE,4,
NP LABS,supplier-np-labs,,mp-hcg-5000-iu-vial,np-labs-hcg-5000-iu-vial-vial,HCG 5000 IU vial,HCG,lyophilized_powder,vial,5000.0,IU,,,injectable,Other / Fertility,EUR,40.00,1.1530,2026-08-03,46.12,USD,46.12,FALSE,TRUE,4,
NP LABS,supplier-np-labs,,mp-hmg-75-iu-vial,np-labs-hmg-75-iu-vial-vial,HMG 75 IU vial,HMG,lyophilized_powder,vial,75.0,IU,,,injectable,Other / Fertility,EUR,20.00,1.1530,2026-08-03,23.06,USD,23.06,FALSE,TRUE,4,
NP LABS,supplier-np-labs,,mp-hgh-36-iu-3ml-vial,np-labs-hgh-36-iu-3ml-vial-vial,HGH 36 IU / 3ml vial,HGH,injectable_solution,vial,36.0,IU,3ml,,injectable,Other / Fertility,EUR,100.00,1.1530,2026-08-03,115.30,USD,115.30,FALSE,TRUE,4,
NP LABS,supplier-np-labs,,mp-bacteriostatic-water-10ml,np-labs-bacteriostatic-water-10ml-vial,Bacteriostatic Water 10ml,Benzyl Alcohol,diluent_solution,vial,0.9,%,10ml,,injectable,Other / Fertility,EUR,5.00,1.1530,2026-08-03,5.77,USD,5.77,FALSE,TRUE,4,Bacteriostatic Water containing 0.9% Benzyl Alcohol
NP LABS,supplier-np-labs,,mp-sermorelin-15mg-15ml-nasal-spray,np-labs-sermorelin-15mg-15ml-nasal-spray-nasal-bottle,Sermorelin 15mg - 15ml nasal spray,Sermorelin,nasal_spray,nasal_bottle,15.0,mg,15ml,,nasal,Nasal Sprays,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,4,
NP LABS,supplier-np-labs,,mp-ipamorelin-15mg-15ml-nasal-spray,np-labs-ipamorelin-15mg-15ml-nasal-spray-nasal-bottle,Ipamorelin 15mg - 15ml nasal spray,Ipamorelin,nasal_spray,nasal_bottle,15.0,mg,15ml,,nasal,Nasal Sprays,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,4,
NP LABS,supplier-np-labs,,mp-tesamorelin-15mg-15ml-nasal-spray,np-labs-tesamorelin-15mg-15ml-nasal-spray-nasal-bottle,Tesamorelin 15mg - 15ml nasal spray,Tesamorelin,nasal_spray,nasal_bottle,15.0,mg,15ml,,nasal,Nasal Sprays,EUR,50.00,1.1530,2026-08-03,57.65,USD,57.65,FALSE,TRUE,4,
